NAME_ER,LATITUDE,LONGITUDE
廣華醫院,22.31429,114.1721
瑪嘉烈醫院,22.340057,114.1347
葵涌醫院,22.342892,114.13336
靈實醫院,22.313773,114.25627
黃竹坑醫院,22.250966,114.17591
基督教聯合醫院,22.322291,114.2279
東華醫院,22.284955,114.14661
仁濟醫院,22.369548,114.11956
東華東院,22.274725,114.19026
屯門醫院,22.40708,113.97621
東華三院馮堯敬醫院,22.271408,114.12483
東華三院黃大仙醫院,22.346808,114.19632
將軍澳醫院,22.317964,114.27021
贊育醫院,22.286146,114.14457
大埔醫院,22.46143,114.17464
大口環根德公爵夫人兒童醫院,22.271574,114.12424
天水圍醫院,22.458704,113.99585
鄧肇堅醫院,22.275313,114.17774
長洲醫院,22.208059,114.03151
伊利沙伯醫院,22.30886,114.17519
瑪麗醫院,22.2704,114.13117
律敦治醫院,22.275909,114.17529
小欖醫院,22.41005,113.97487
沙田醫院,22.398115,114.21263
北大嶼山醫院,22.282571,113.93914
聖母醫院,22.345588,114.19657
威爾斯親王醫院,22.379939,114.20129
博愛醫院,22.44523,114.04159
東區尤德夫人那打素醫院,22.26918,114.23643
九龍醫院,22.323708,114.17957
麥理浩復康院,22.269795,114.12399
北區醫院,22.496832,114.12456
香港紅十字會輸血服務中心,22.310794,114.17443
香港佛教醫院,22.33568,114.18874
香港兒童醫院,22.315757,114.20886
香港眼科醫院,22.324927,114.18462
白普理寧養中心,22.398512,114.2151
明愛醫院,22.340629,114.15231
沙田慈氏護養院,22.39918,114.21653
葛量洪醫院,22.251156,114.17316
青山醫院,22.410011,113.97374
舂磡角慈氏護養院,22.212024,114.1973
雅麗氏何妙齡那打素醫院,22.458696,114.17479
